Wall time,Step,Value
1772988983.1696472,2048,640.0
1772989013.9799807,4096,640.0
1772989068.378395,6144,589.2000122070312
1772989107.740698,8192,600.923095703125
1772989148.4618578,10240,608.25
1772989188.1950622,12288,613.26318359375
1772989242.30318,14336,617.9130249023438
1772989296.8305724,16384,620.4615478515625
1772989338.1759064,18432,622.4827880859375
1772989376.3786821,20480,624.125
1772989411.4841442,22528,625.4857177734375
1772989461.4937005,24576,626.974365234375
1772989492.6806195,26624,627.90478515625
1772989529.8114622,28672,628.7111206054688
1772989593.7339194,30720,629.4166870117188
1772989617.7233503,32768,630.0392456054688
1772989664.8969097,34816,630.7636108398438
1772989691.3863757,36864,631.2413940429688
1772989718.3922353,38912,631.672119140625
1772989757.0509865,40960,632.0625
1772989796.3297122,43008,632.4179077148438
1772989836.446621,45056,632.8450927734375
1772989867.8826048,47104,633.1351318359375
1772989900.2059176,49152,633.402587890625
1772989937.0717707,51200,633.6500244140625
1772989970.0098257,53248,633.8795166015625
1772990021.651429,55296,634.1609497070312
1772990048.071824,57344,634.3555297851562
1772990087.8244574,59392,634.5376586914062
1772990123.1506414,61440,634.7083129882812
1772990168.6893342,63488,634.8687133789062
1772990236.9578555,65536,634.9199829101562
1772990274.7363627,67584,634.9199829101562
1772990298.3682227,69632,636.9199829101562
1772990333.2489152,71680,640.0
1772990383.851464,73728,640.0
1772990423.5951407,75776,640.0
1772990461.143316,77824,640.0
1772990499.4337478,79872,640.0
1772990531.742508,81920,640.0
1772990565.685696,83968,640.0
1772990607.219487,86016,640.0
1772990652.749263,88064,640.0
1772990681.4805393,90112,640.0
1772990702.6214907,92160,640.0
1772990746.4523234,94208,640.0
1772990795.270755,96256,640.0
1772990831.800786,98304,640.0
1772990873.3983278,100352,640.0
